@RELATION RAVDESSAngryMale
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {angry male,calm male,disgust male,fearful male,happy male,neutral male,sad male,surprised male}

@DATA
0.067140,0.003990,2.605298,0.253812,0.243867,0.693804,0.007956,0.065477,-35.248153,1.391767,0.230978,-0.034124,0.016785,0.227287,0.119426,0.037980,-0.012931,0.032391,-0.078325,0.012163,-0.092776,0.005282,0.003394,0.034056,0.008432,0.007834,0.007789,0.117328,0.004118,0.004732,0.012076,0.011662,0.004695,0.037416,0.051355,0.005031,0.499962,0.061466,0.029365,0.469875,0.007337,0.074563,2.800603,0.624642,0.766498,0.501552,0.437927,0.251379,0.263793,0.228464,0.205819,0.223576,0.182527,0.202899,0.192308,0.005776,0.006431,0.027207,0.011085,0.007270,0.007831,0.068925,0.006507,0.006202,0.014033,0.012779,0.005766,0.016982,angry male
0.036483,0.009966,2.989782,0.175032,0.220514,0.371024,0.029299,0.061519,-33.486890,1.235346,-0.083428,-0.276745,-0.202630,0.226719,0.011371,-0.053722,-0.239049,-0.228202,-0.183584,-0.071615,0.027905,0.003881,0.002248,0.015755,0.010392,0.016491,0.010219,0.110608,0.001764,0.006479,0.007185,0.007139,0.001762,0.038792,0.031505,0.012062,0.339340,0.041301,0.024744,0.441832,0.029256,0.085170,2.673937,0.600909,0.822330,0.517971,0.453217,0.329082,0.375483,0.328757,0.278937,0.263724,0.305044,0.294262,0.250522,0.005736,0.003806,0.016441,0.011538,0.023780,0.018863,0.044383,0.004492,0.012073,0.012088,0.011262,0.003423,0.013847,angry male
0.061065,0.007725,2.852166,0.272024,0.259082,0.589355,0.008805,0.071353,-34.915360,1.969618,0.294508,0.202249,0.096093,0.085459,0.218473,0.086986,0.028981,0.010210,-0.074953,0.030141,-0.040561,0.009404,0.001836,0.044548,0.008332,0.010662,0.006813,0.105497,0.001320,0.003716,0.011301,0.015660,0.003576,0.036976,0.047413,0.010881,0.356600,0.058692,0.035236,0.490422,0.007657,0.098747,3.292288,0.651645,0.571936,0.505936,0.309749,0.217944,0.240506,0.220487,0.205855,0.176514,0.176744,0.181949,0.172149,0.013235,0.002567,0.045447,0.009334,0.010774,0.009360,0.054780,0.002102,0.006095,0.012422,0.016471,0.006903,0.014084,angry male
0.073098,0.012239,2.583297,0.291082,0.254587,0.974943,0.006132,0.094448,-35.013835,1.537706,0.076188,0.087072,-0.108792,0.064993,0.151903,0.078691,0.007674,-0.011620,0.048637,0.057697,-0.035450,0.005869,0.002683,0.038202,0.008839,0.009222,0.008930,0.107306,0.002028,0.005845,0.008793,0.012902,0.006662,0.036118,0.043384,0.014847,0.390189,0.062077,0.030696,0.537779,0.004529,0.093421,2.972432,0.541770,0.734861,0.407344,0.391519,0.234105,0.305545,0.253975,0.223377,0.208019,0.203113,0.162896,0.185623,0.006991,0.003456,0.030689,0.009527,0.011495,0.014089,0.060702,0.003252,0.007355,0.009591,0.012772,0.013167,0.016473,angry male
0.022473,0.006673,3.108593,0.167784,0.235944,0.237328,0.012792,0.046271,-35.877429,1.377371,0.101032,0.192816,0.067453,0.093405,0.084515,0.063135,-0.042286,-0.019003,-0.053598,-0.039768,-0.135330,0.007008,0.001756,0.010796,0.010786,0.005490,0.003899,0.110472,0.001584,0.003165,0.006781,0.008510,0.006368,0.035994,0.019317,0.009922,0.207888,0.047615,0.030567,0.275236,0.014558,0.054308,3.200806,0.634849,0.682276,0.479253,0.365218,0.265858,0.285073,0.270567,0.216366,0.240631,0.169194,0.222291,0.167230,0.008086,0.001811,0.012502,0.013013,0.006268,0.004857,0.035766,0.002703,0.004706,0.009730,0.011837,0.015335,0.009816,angry male
0.046365,0.006963,2.320194,0.241243,0.214101,0.687665,0.004148,0.030701,-38.794990,0.998160,0.006008,-0.067766,-0.181540,-0.032842,0.177779,0.008128,0.008468,-0.036766,-0.138650,-0.072945,-0.065309,0.010868,0.004870,0.032890,0.011969,0.011843,0.006628,0.041139,0.003587,0.005792,0.009830,0.011567,0.004227,0.020244,0.027779,0.010629,0.390167,0.111461,0.063200,0.456478,0.003211,0.028376,3.420620,0.507603,0.534441,0.365146,0.267017,0.163891,0.222508,0.231369,0.225350,0.209685,0.179733,0.248417,0.170985,0.010705,0.005461,0.027370,0.014100,0.018655,0.007070,0.034226,0.003922,0.006478,0.009907,0.009845,0.004153,0.012665,angry male
0.056107,0.010517,2.604897,0.301213,0.246424,1.033935,0.005518,0.074625,-36.201475,1.427021,0.169919,0.066825,-0.191751,0.080275,0.220351,0.029270,0.044691,0.025570,-0.090793,0.035818,-0.046729,0.007812,0.005972,0.030066,0.008884,0.014700,0.007644,0.032001,0.002850,0.006294,0.009773,0.015143,0.005976,0.015940,0.048387,0.012016,0.409643,0.081885,0.030757,0.671770,0.003995,0.083659,3.687776,0.688299,0.643628,0.372794,0.458585,0.303554,0.297129,0.234361,0.237329,0.184731,0.172200,0.150528,0.198967,0.007526,0.010571,0.023289,0.009615,0.017338,0.010539,0.027733,0.003675,0.007778,0.008595,0.014306,0.009147,0.009967,angry male
0.080153,0.008157,2.571858,0.252724,0.210478,0.915578,0.006434,0.152778,-35.577748,1.358190,-0.164528,-0.035201,-0.154244,0.004400,-0.035964,-0.156927,-0.062669,-0.182339,-0.102450,-0.078955,-0.026079,0.014977,0.005783,0.027328,0.009378,0.020257,0.010727,0.034645,0.003100,0.005497,0.006471,0.014572,0.004511,0.020206,0.060347,0.009258,0.392771,0.105944,0.053206,0.605278,0.005831,0.128780,3.075294,0.707728,0.675631,0.525092,0.306857,0.297431,0.245244,0.235300,0.210189,0.236220,0.247189,0.275235,0.178287,0.016597,0.007811,0.028407,0.011196,0.020890,0.012726,0.032035,0.004884,0.006821,0.006352,0.014381,0.005989,0.013180,angry male
0.064960,0.009357,2.712073,0.264032,0.241303,0.720341,0.006864,0.173558,-33.162004,1.610595,-0.009569,0.222039,-0.124391,0.151448,0.224597,0.013964,-0.005735,0.053262,-0.041812,-0.039190,0.023053,0.008197,0.003832,0.038459,0.008482,0.009445,0.006590,0.104183,0.004659,0.005111,0.006796,0.015719,0.003188,0.037734,0.050115,0.009275,0.316778,0.068306,0.032175,0.447479,0.005426,0.114969,2.520159,0.689698,0.602991,0.339566,0.436363,0.218216,0.309421,0.214514,0.226089,0.150223,0.181286,0.175280,0.147976,0.011629,0.005696,0.038545,0.011570,0.011884,0.006318,0.038167,0.010102,0.007903,0.008194,0.019422,0.003795,0.013992,angry male
0.098749,0.012938,2.984906,0.271820,0.220858,1.355575,0.006859,0.273767,-33.558527,0.910395,-0.224247,-0.197840,-0.110240,0.040982,-0.126951,-0.232693,-0.133191,-0.211689,-0.179621,-0.062994,-0.071320,0.007907,0.003660,0.018460,0.016201,0.013545,0.009090,0.019379,0.004323,0.006987,0.007138,0.009550,0.004558,0.015005,0.063043,0.015482,0.324780,0.090643,0.034102,0.582410,0.005200,0.144173,3.274092,0.681097,0.712689,0.532036,0.333448,0.291140,0.238100,0.289278,0.196106,0.222705,0.258080,0.261138,0.247075,0.010713,0.006328,0.016731,0.016737,0.021540,0.011437,0.025996,0.006945,0.011232,0.006765,0.008440,0.006717,0.010268,angry male
0.065105,0.007829,2.922855,0.196242,0.189475,0.588253,0.027410,0.094802,-34.470931,1.657750,0.144448,-0.000622,-0.214405,0.213360,0.159212,0.117648,0.060167,0.036873,0.015402,-0.060606,0.022713,0.011099,0.006447,0.038532,0.009865,0.012849,0.007375,0.049744,0.001768,0.005030,0.006319,0.024688,0.006436,0.024151,0.046558,0.009842,0.325327,0.105479,0.060199,0.507011,0.037333,0.096639,3.617126,0.722013,0.760056,0.400380,0.505254,0.208384,0.290660,0.270830,0.247608,0.203677,0.152047,0.150048,0.153488,0.012675,0.009600,0.033737,0.011872,0.012134,0.007064,0.027518,0.003018,0.006426,0.005459,0.022045,0.010195,0.011953,angry male
0.079494,0.013248,2.916035,0.245349,0.233728,0.813441,0.006299,0.167655,-32.641410,1.518343,0.275703,0.148593,-0.375461,0.096837,0.262473,-0.072363,0.115726,-0.063645,0.044155,-0.056384,0.035827,0.008799,0.004252,0.032682,0.014146,0.016092,0.010061,0.125237,0.001597,0.002496,0.005694,0.017042,0.010681,0.043215,0.044591,0.014596,0.210696,0.059395,0.024345,0.494923,0.004370,0.129191,2.346419,0.494473,0.596742,0.322642,0.383751,0.197131,0.281663,0.204781,0.183435,0.222751,0.192545,0.156624,0.154789,0.010738,0.005395,0.030322,0.021129,0.015119,0.015757,0.057872,0.001694,0.002483,0.004271,0.017844,0.016628,0.017035,angry male
0.058021,0.010898,2.733865,0.253837,0.255646,0.520567,0.009145,0.053822,-35.365463,2.049542,0.132204,0.140779,0.044913,0.058494,0.272467,0.108251,-0.046630,-0.041077,-0.099402,0.014304,-0.105594,0.013578,0.002352,0.082072,0.005686,0.006733,0.003039,0.091227,0.002934,0.005702,0.011598,0.018021,0.008292,0.040564,0.049779,0.013224,0.319444,0.064200,0.034400,0.481684,0.007529,0.077624,3.319618,0.529312,0.621297,0.445918,0.381563,0.308080,0.227957,0.248732,0.234232,0.201839,0.214431,0.199984,0.243299,0.017220,0.003439,0.055580,0.007243,0.010049,0.004046,0.047307,0.005141,0.009809,0.010459,0.021741,0.011986,0.014588,angry male
0.093648,0.014539,2.962632,0.283909,0.236864,1.204332,0.008627,0.279673,-33.093172,1.834422,0.115305,0.155311,-0.166881,0.067738,-0.039199,-0.063051,-0.073618,-0.102612,-0.131772,-0.110777,-0.230619,0.013527,0.004696,0.031957,0.013986,0.010913,0.007822,0.033690,0.004987,0.006198,0.017562,0.023337,0.006265,0.020003,0.061822,0.014825,0.276703,0.072540,0.029475,0.531094,0.009119,0.148900,2.624212,0.668226,0.577216,0.442525,0.346273,0.199864,0.188606,0.225412,0.205849,0.213344,0.199381,0.233497,0.233139,0.020016,0.007037,0.030841,0.016929,0.014366,0.011397,0.034414,0.008517,0.007631,0.019795,0.024521,0.008760,0.011391,angry male
0.076112,0.009127,2.667662,0.289111,0.248016,0.988517,0.006201,0.078285,-35.254823,1.524830,0.216249,0.050785,-0.168524,0.047191,0.171250,-0.020714,-0.077836,-0.106829,0.022624,0.027192,-0.004582,0.006958,0.008388,0.033009,0.007571,0.012296,0.014030,0.099386,0.003754,0.003706,0.007938,0.012222,0.002162,0.034540,0.062269,0.011372,0.346052,0.080974,0.034632,0.582344,0.005031,0.100159,3.462233,0.592664,0.744833,0.472416,0.427867,0.259503,0.344090,0.244347,0.225893,0.220170,0.212158,0.185903,0.168160,0.008015,0.017089,0.029648,0.010740,0.013460,0.018108,0.063573,0.005484,0.004139,0.008788,0.014265,0.002187,0.016917,angry male
0.091220,0.009321,2.477321,0.271636,0.207248,1.207613,0.006453,0.150812,-36.331543,0.958166,-0.164774,-0.269490,-0.168401,-0.150631,-0.087613,-0.168216,-0.082228,-0.076212,-0.020113,-0.068111,0.012623,0.006433,0.002449,0.012486,0.009916,0.009856,0.006011,0.028171,0.002591,0.005592,0.007097,0.012812,0.007357,0.015177,0.074836,0.011785,0.573171,0.115501,0.054844,0.678684,0.006616,0.153915,4.230067,0.666535,0.621100,0.599531,0.350629,0.244326,0.247693,0.257486,0.363255,0.327993,0.275630,0.252689,0.250228,0.010366,0.003323,0.017202,0.015371,0.013868,0.007220,0.030839,0.003493,0.008633,0.009919,0.017447,0.014896,0.012083,angry male
0.048174,0.006303,2.931368,0.201932,0.225438,0.378685,0.023260,0.055871,-34.155916,1.636973,0.307564,0.279766,0.055413,0.165169,0.097179,0.144749,-0.053231,0.004188,-0.060635,0.060838,-0.057344,0.006767,0.002449,0.023249,0.009844,0.009549,0.007249,0.140844,0.001289,0.004030,0.006811,0.008441,0.003207,0.042922,0.044571,0.007989,0.298957,0.071888,0.035890,0.323963,0.024507,0.055577,3.493924,0.732243,0.584343,0.308434,0.392250,0.225707,0.236785,0.218668,0.211794,0.204135,0.195829,0.146581,0.168077,0.012467,0.003279,0.022971,0.018706,0.010969,0.010152,0.058143,0.002020,0.006279,0.006972,0.012715,0.004874,0.015263,angry male
0.059224,0.016224,2.473595,0.312800,0.239576,0.767195,0.009364,0.065549,-36.886123,1.202348,-0.206906,-0.062341,-0.197777,-0.032935,0.116631,-0.176042,-0.118404,-0.180961,-0.151312,-0.028366,-0.019782,0.008243,0.003237,0.018544,0.009261,0.014501,0.011740,0.015643,0.002570,0.004708,0.011659,0.012676,0.006813,0.013938,0.055398,0.018693,0.490851,0.101009,0.034719,0.699616,0.012701,0.064669,4.256478,0.879779,0.734449,0.493890,0.301685,0.274008,0.297295,0.247838,0.211821,0.325777,0.257745,0.241107,0.242731,0.014556,0.004843,0.023722,0.012551,0.021531,0.023993,0.013847,0.003489,0.004993,0.017604,0.018591,0.011128,0.011605,angry male
0.053100,0.002883,2.886253,0.271444,0.255648,0.676735,0.006668,0.043958,-37.692007,1.499554,0.114854,0.112928,-0.110833,0.095454,0.172964,0.008584,0.231133,-0.013210,-0.074082,-0.007825,0.011151,0.006849,0.002868,0.041293,0.007770,0.008545,0.007213,0.098613,0.001066,0.003418,0.009696,0.019772,0.005783,0.036576,0.039830,0.005790,0.367492,0.089173,0.036878,0.525176,0.005473,0.058443,3.543467,1.026990,0.645681,0.317241,0.421166,0.217594,0.260281,0.234013,0.195614,0.207874,0.177645,0.243465,0.190258,0.008577,0.004181,0.039469,0.010061,0.012224,0.008603,0.046225,0.001628,0.006314,0.015049,0.018934,0.008873,0.013396,angry male
0.080062,0.009394,2.594861,0.261478,0.206792,1.471124,0.004619,0.278612,-35.362285,0.948956,-0.141730,-0.217574,-0.267101,0.013109,-0.039252,-0.165115,-0.052089,-0.014994,-0.081261,-0.097273,-0.137314,0.011109,0.003659,0.016853,0.010086,0.005026,0.006028,0.024942,0.003352,0.007423,0.007742,0.010305,0.007875,0.014915,0.066450,0.012171,0.650178,0.109286,0.057603,0.789109,0.003733,0.179157,4.753965,0.678912,0.571745,0.409436,0.379189,0.247912,0.233178,0.261654,0.232666,0.243644,0.284538,0.236394,0.248909,0.014196,0.004548,0.023268,0.012564,0.005509,0.008321,0.025099,0.004929,0.011755,0.007681,0.012297,0.012147,0.012040,angry male
0.055455,0.008622,2.465579,0.305712,0.251456,0.769627,0.005012,0.051885,-38.338175,1.196008,-0.024190,0.071491,-0.077537,0.001622,0.107393,0.077171,-0.076669,-0.063919,-0.155841,-0.065460,-0.034636,0.009534,0.003982,0.041514,0.014383,0.011339,0.007195,0.041624,0.003547,0.005388,0.008360,0.011166,0.004024,0.019579,0.046926,0.012043,0.542301,0.097444,0.049280,0.620240,0.004428,0.072187,4.028307,0.615722,0.546859,0.310737,0.319845,0.208471,0.253062,0.257203,0.218614,0.229761,0.253224,0.195063,0.169988,0.011532,0.006137,0.038656,0.017553,0.010182,0.011961,0.036349,0.004294,0.006137,0.007155,0.011136,0.004748,0.015303,angry male
