Nr.	Satz	erkannt	natuerlich
212  	12a04Tb.wav	75,00     	45,00     
213  	12a04Wc.wav	90,00     	65,00     
214  	13a04Ac.wav	85,00     	65,00     
215  	13a04Ea.wav	65,00     	25,00     
216  	13a04Fc.wav	90,00     	65,00     
217  	13a04Lb.wav	100,00     	90,00     
218  	13a04Nc.wav	65,00     	65,00     
219  	13a04Ta.wav	90,00     	75,00     
220  	13a04Tb.wav	70,00     	45,00     
221  	13a04Tc.wav	75,00     	35,00     
222  	13a04Wc.wav	100,00     	100,00     
223  	14a04Aa.wav	100,00     	75,00     
224  	14a04Ed.wav	80,00     	55,00     
225  	14a04Fc.wav	75,00     	40,00     
226  	14a04Fd.wav	65,00     	25,00     
227  	14a04Lb.wav	95,00     	90,00     
228  	14a04Nb.wav	75,00     	70,00     
229  	14a04Tb.wav	95,00     	85,00     
230  	14a04Tc.wav	100,00     	100,00     
231  	14a04Wb.wav	100,00     	70,00     
232  	14a04Wc.wav	100,00     	60,00     
233  	15a04Ab.wav	100,00     	80,00     
234  	15a04Ac.wav	80,00     	55,00     
235  	15a04Eb.wav	80,00     	35,00     
236  	15a04Fd.wav	90,00     	60,00     
237  	15a04Lb.wav	70,00     	70,00     
238  	15a04Nc.wav	95,00     	95,00     
239  	15a04Tb.wav	95,00     	55,00     
240  	15a04Wa.wav	100,00     	85,00     
241  	15a04Wb.wav	100,00     	95,00     
242  	16a04Ab.wav	85,00     	45,00     
243  	16a04Ea.wav	95,00     	80,00     
244  	16a04Fa.wav	100,00     	85,00     
245  	16a04La.wav	100,00     	90,00     
246  	16a04Lc.wav	100,00     	95,00     
247  	16a04Nc.wav	95,00     	75,00     
248  	16a04Tc.wav	90,00     	75,00     
249  	16a04Wb.wav	100,00     	75,00     
250  	16a04Wc.wav	100,00     	100,00     
251  	03a05Aa.wav	85,00     	55,00     
252  	03a05Ea.wav	75,00     	30,00     
253  	03a05Fc.wav	100,00     	80,00     
254  	03a05La.wav	65,00     	30,00     
255  	03a05Nd.wav	100,00     	90,00     
256  	03a05Ta.wav	45,00     	20,00     
257  	03a05Tc.wav	85,00     	50,00     
258  	03a05Wa.wav	100,00     	85,00     
259  	03a05Wb.wav	100,00     	90,00     
260  	08a05Aa.wav	95,00     	50,00     
261  	08a05Ea.wav	70,00     	35,00     
262  	08a05Fe.wav	100,00     	90,00     
263  	08a05Lc.wav	95,00     	80,00     
264  	08a05Nb.wav	100,00     	95,00     
265  	08a05Ta.wav	95,00     	70,00     
266  	08a05Wa.wav	100,00     	80,00     
267  	09a05Aa.wav	95,00     	55,00     
268  	09a05Ed.wav	100,00     	80,00     
269  	09a05Fa.wav	45,00     	5,00     
270  	09a05Lc.wav	85,00     	65,00     
271  	09a05Nb.wav	100,00     	100,00     
272  	09a05Tb.wav	85,00     	55,00     
273  	09a05Wb.wav	100,00     	95,00     
274  	09a05Wc.wav	95,00     	90,00     
275  	10a05Aa.wav	90,00     	55,00     
276  	10a05Eb.wav	85,00     	40,00     
277  	10a05Fa.wav	70,00     	45,00     
278  	10a05Ld.wav	100,00     	80,00     
279  	10a05Na.wav	90,00     	45,00     
280  	10a05Tb.wav	80,00     	45,00     
281  	10a05Wb.wav	100,00     	70,00     
282  	11a05Ad.wav	100,00     	75,00     
283  	11a05Ea.wav	75,00     	30,00     
284  	11a05Fb.wav	95,00     	70,00     
285  	11a05Fc.wav	100,00     	65,00     
286  	11a05Lc.wav	85,00     	75,00     
287  	11a05Na.wav	85,00     	80,00     
288  	11a05Td.wav	90,00     	60,00     
289  	11a05Wd.wav	100,00     	100,00     
290  	12a05Ab.wav	95,00     	55,00     
291  	12a05Ec.wav	75,00     	25,00     
292  	12a05Fc.wav	25,00     	15,00     
293  	12a05Lb.wav	100,00     	85,00     
294  	12a05Nd.wav	90,00     	75,00     
295  	12a05Ta.wav	90,00     	55,00     
296  	12a05Wb.wav	95,00     	85,00     
297  	13a05Aa.wav	100,00     	80,00     
298  	13a05Ac.wav	75,00     	35,00     
299  	13a05Ea.wav	85,00     	65,00     
300  	13a05Fa.wav	85,00     	40,00     
301  	13a05Lc.wav	90,00     	90,00     
302  	13a05Nb.wav	100,00     	100,00     
303  	13a05Tc.wav	85,00     	70,00     
304  	13a05Wa.wav	95,00     	75,00     
305  	13a05Wc.wav	95,00     	75,00     
306  	14a05Aa.wav	100,00     	90,00     
307  	14a05Ac.wav	95,00     	85,00     
308  	14a05Ea.wav	90,00     	50,00     
309  	14a05Fa.wav	100,00     	80,00     
310  	14a05Fb.wav	100,00     	85,00     
311  	14a05Lb.wav	95,00     	85,00     
312  	14a05Na.wav	95,00     	75,00     
313  	14a05Ta.wav	90,00     	75,00     
314  	14a05Tc.wav	85,00     	60,00     
315  	14a05Wa.wav	100,00     	100,00     
316  	14a05Wb.wav	100,00     	95,00     
317  	15a05Ab.wav	85,00     	50,00     
318  	15a05Eb.wav	100,00     	85,00     
319  	15a05Fb.wav	85,00     	60,00     
320  	15a05Lb.wav	95,00     	90,00     
321  	15a05Na.wav	100,00     	90,00     
322  	15a05Ta.wav	85,00     	40,00     
323  	15a05Tb.wav	85,00     	35,00     
324  	15a05Wa.wav	100,00     	95,00     
325  	16a05Ab.wav	95,00     	80,00     
326  	16a05Ea.wav	90,00     	60,00     
327  	16a05Fc.wav	90,00     	55,00     
328  	16a05La.wav	100,00     	100,00     
329  	16a05Na.wav	55,00     	50,00     
330  	16a05Tb.wav	100,00     	75,00     
331  	16a05Wb.wav	100,00     	90,00     
332  	16a05Wc.wav	100,00     	90,00     
333  	03a07Ad.wav	65,00     	45,00     
334  	03a07Ea.wav	85,00     	45,00     
335  	03a07Fa.wav	85,00     	80,00     
336  	03a07Fb.wav	95,00     	70,00     
337  	03a07La.wav	95,00     	80,00     
338  	03a07Nc.wav	100,00     	100,00     
339  	03a07Tc.wav	75,00     	60,00     
340  	03a07Wc.wav	85,00     	60,00     
341  	08a07Aa.wav	90,00     	45,00     
342  	08a07Ed.wav	65,00     	5,00     
343  	08a07Fd.wav	80,00     	70,00     
344  	08a07La.wav	90,00     	75,00     
345  	08a07Na.wav	100,00     	80,00     
346  	08a07Ta.wav	80,00     	75,00     
347  	08a07Tb.wav	95,00     	95,00     
348  	08a07Wc.wav	95,00     	75,00     
349  	09a07Aa.wav	90,00     	55,00     
350  	09a07Eb.wav	95,00     	60,00     
351  	09a07Fd.wav	70,00     	20,00     
352  	09a07Lc.wav	70,00     	45,00     
353  	09a07Na.wav	95,00     	85,00     
354  	09a07Ta.wav	85,00     	60,00     
355  	09a07Wb.wav	100,00     	100,00     
356  	09a07Wd.wav	100,00     	75,00     
357  	10a07Aa.wav	90,00     	70,00     
358  	10a07Ad.wav	85,00     	55,00     
359  	10a07Eb.wav	90,00     	45,00     
360  	10a07Fb.wav	75,00     	35,00     
361  	10a07La.wav	95,00     	90,00     
362  	10a07Nb.wav	60,00     	30,00     
363  	10a07Ta.wav	85,00     	60,00     
364  	10a07Wb.wav	95,00     	90,00     
365  	11a07Ac.wav	80,00     	65,00     
366  	11a07Ec.wav	80,00     	40,00     
367  	11a07Fd.wav	95,00     	40,00     
368  	11a07Ld.wav	90,00     	80,00     
369  	11a07Nb.wav	85,00     	50,00     
370  	11a07Ta.wav	80,00     	70,00     
371  	11a07Wc.wav	90,00     	70,00     
372  	12a07Ac.wav	100,00     	85,00     
373  	12a07Ec.wav	90,00     	15,00     
374  	12a07Fd.wav	65,00     	50,00     
375  	12a07La.wav	90,00     	70,00     
376  	12a07Nb.wav	80,00     	55,00     
377  	12a07Tc.wav	30,00     	10,00     
378  	12a07Wa.wav	80,00     	60,00     
379  	12a07Wc.wav	75,00     	65,00     
380  	13a07Aa.wav	75,00     	35,00     
381  	13a07Ea.wav	55,00     	25,00     
382  	13a07Fd.wav	90,00     	65,00     
383  	13a07Lb.wav	85,00     	85,00     
384  	13a07Na.wav	90,00     	85,00     
385  	13a07Tc.wav	80,00     	65,00     
386  	13a07Wb.wav	100,00     	80,00     
387  	14a07Aa.wav	100,00     	95,00     
388  	14a07Eb.wav	95,00     	75,00     
389  	14a07Fd.wav	95,00     	65,00     
390  	14a07Lc.wav	90,00     	80,00     
391  	14a07Ld.wav	85,00     	70,00     
392  	14a07Na.wav	95,00     	75,00     
393  	14a07Tc.wav	90,00     	80,00     
394  	14a07Wc.wav	95,00     	95,00     
395  	15a07Ac.wav	90,00     	75,00     
396  	15a07Eb.wav	95,00     	75,00     
397  	15a07Fa.wav	90,00     	70,00     
398  	15a07Fb.wav	100,00     	80,00     
399  	15a07Ld.wav	95,00     	85,00     
400  	15a07Nc.wav	100,00     	95,00     
401  	15a07Tc.wav	70,00     	40,00     
402  	15a07Wb.wav	65,00     	45,00     
403  	16a07Ac.wav	75,00     	50,00     
404  	16a07Ea.wav	95,00     	85,00     
405  	16a07Fa.wav	80,00     	55,00     
406  	16a07Fb.wav	100,00     	85,00     
407  	16a07La.wav	85,00     	65,00     
408  	16a07Lb.wav	100,00     	95,00     
409  	16a07Nb.wav	90,00     	65,00     
410  	16a07Td.wav	95,00     	85,00     
411  	16a07Wa.wav	90,00     	75,00     
412  	03b01Ad.wav	75,00     	35,00     
413  	03b01Ed.wav	85,00     	40,00     
414  	03b01Fa.wav	80,00     	60,00     
415  	03b01Lb.wav	85,00     	65,00     
416  	03b01Nb.wav	95,00     	85,00     
417  	03b01Td.wav	90,00     	55,00     
418  	03b01Te.wav	60,00     	50,00     
419  	03b01Wa.wav	100,00     	100,00     
420  	03b01Wc.wav	95,00     	95,00     
421  	08b01Aa.wav	95,00     	75,00     
422  	08b01Eb.wav	85,00     	40,00     
423  	08b01Fd.wav	85,00     	65,00     
424  	08b01Fe.wav	95,00     	65,00     
425  	08b01Lb.wav	95,00     	60,00     
426  	08b01Na.wav	90,00     	75,00     
427  	08b01Ta.wav	85,00     	50,00     
428  	08b01Wa.wav	100,00     	95,00     
429  	09b01Aa.wav	60,00     	30,00     
430  	09b01Ad.wav	45,00     	30,00     
431  	09b01Ea.wav	100,00     	85,00     
432  	09b01Fd.wav	65,00     	20,00     
433  	09b01Lb.wav	75,00     	50,00     
434  	09b01Na.wav	90,00     	80,00     
435  	09b01Td.wav	65,00     	30,00     
436  	09b01Wb.wav	95,00     	90,00     
437  	10b01Aa.wav	90,00     	70,00     
438  	10b01Ea.wav	90,00     	70,00     
439  	10b01Fa.wav	95,00     	65,00     
440  	10b01Lb.wav	90,00     	85,00     
441  	10b01Na.wav	45,00     	20,00     
442  	10b01Nb.wav	35,00     	15,00     
443  	10b01Ta.wav	70,00     	35,00     
444  	10b01Tb.wav	50,00     	20,00     
445  	10b01Wb.wav	100,00     	55,00     
446  	11b01Ab.wav	95,00     	75,00     
447  	11b01Eb.wav	85,00     	50,00     
448  	11b01Fb.wav	85,00     	45,00     
449  	11b01Fc.wav	100,00     	75,00     
450  	11b01Lb.wav	85,00     	55,00     
451  	11b01Nc.wav	95,00     	90,00     
452  	11b01Td.wav	55,00     	30,00     
453  	11b01Wd.wav	95,00     	70,00     
454  	12b01Ad.wav	70,00     	10,00     
455  	12b01Ea.wav	85,00     	35,00     
456  	12b01Fd.wav	95,00     	45,00     
457  	12b01Lb.wav	70,00     	35,00     
458  	12b01Nb.wav	90,00     	55,00     
459  	12b01Ta.wav	90,00     	65,00     
460  	12b01Wa.wav	95,00     	75,00     
461  	13b01Ab.wav	100,00     	95,00     
462  	13b01Ec.wav	95,00     	70,00     
463  	13b01Fc.wav	100,00     	85,00     
464  	13b01Ld.wav	95,00     	80,00     
465  	13b01Nc.wav	85,00     	60,00     
466  	13b01Td.wav	60,00     	45,00     
467  	13b01Wa.wav	100,00     	95,00     
468  	14b01Ac.wav	100,00     	85,00     
469  	14b01Eb.wav	100,00     	70,00     
470  	14b01Fa.wav	85,00     	65,00     
471  	14b01Fc.wav	100,00     	75,00     
472  	14b01Lb.wav	75,00     	55,00     
473  	14b01Na.wav	85,00     	70,00     
474  	14b01Ta.wav	75,00     	60,00     
475  	14b01Wc.wav	95,00     	90,00     
476  	15b01Aa.wav	90,00     	40,00     
477  	15b01Ec.wav	100,00     	75,00     
478  	15b01Fa.wav	65,00     	35,00     
479  	15b01Lb.wav	85,00     	75,00     
480  	15b01Na.wav	90,00     	80,00     
481  	15b01Ta.wav	85,00     	45,00     
482  	15b01Wc.wav	100,00     	95,00     
483  	16b01Aa.wav	95,00     	80,00     
484  	16b01Eb.wav	100,00     	85,00     
485  	16b01Fa.wav	80,00     	70,00     
486  	16b01La.wav	95,00     	75,00     
487  	16b01Lc.wav	95,00     	75,00     
488  	16b01Nc.wav	40,00     	15,00     
489  	16b01Tb.wav	100,00     	80,00     
490  	16b01Wa.wav	100,00     	100,00     
491  	16b01Wb.wav	100,00     	100,00     
492  	03b02Aa.wav	85,00     	70,00     
493  	03b02Ed.wav	75,00     	25,00     
494  	03b02Fc.wav	70,00     	55,00     
495  	03b02La.wav	95,00     	80,00     
496  	03b02Na.wav	100,00     	95,00     
497  	03b02Tb.wav	80,00     	55,00     
498  	03b02Tc.wav	90,00     	50,00     
499  	03b02Wb.wav	95,00     	80,00     
500  	08b02Ac.wav	85,00     	35,00     
501  	08b02Ed.wav	55,00     	20,00     
502  	08b02Ff.wav	100,00     	85,00     
503  	08b02La.wav	95,00     	90,00     
504  	08b02Nb.wav	95,00     	95,00     
505  	08b02Tc.wav	90,00     	65,00     
506  	08b02Wd.wav	100,00     	100,00     
507  	09b02Ad.wav	75,00     	30,00     
508  	09b02Ed.wav	50,00     	5,00     
509  	09b02Fb.wav	85,00     	45,00     
510  	09b02La.wav	70,00     	40,00     
511  	09b02Na.wav	100,00     	90,00     
512  	09b02Tb.wav	80,00     	50,00     
513  	09b02Wc.wav	90,00     	65,00     
514  	09b02Wd.wav	95,00     	80,00     
515  	10b02Aa.wav	100,00     	60,00     
516  	10b02Ea.wav	75,00     	50,00     
517  	10b02Fa.wav	60,00     	15,00     
518  	10b02La.wav	95,00     	80,00     
519  	10b02Na.wav	80,00     	65,00     
520  	10b02Ta.wav	65,00     	40,00     
521  	10b02Tb.wav	60,00     	25,00     
522  	10b02Wb.wav	95,00     	75,00     
523  	11b02Ab.wav	85,00     	75,00     
524  	11b02Eb.wav	65,00     	25,00     
525  	11b02Fd.wav	100,00     	80,00     
526  	11b02Ld.wav	45,00     	30,00     
527  	11b02Na.wav	90,00     	90,00     
528  	11b02Td.wav	85,00     	65,00     
529  	11b02Wb.wav	95,00     	70,00     
530  	11b02Wd.wav	75,00     	55,00     
531  	12b02Ad.wav	95,00     	65,00     
532  	12b02Ea.wav	80,00     	55,00     
533  	12b02Fb.wav	85,00     	65,00     
534  	12b02La.wav	75,00     	50,00     
535  	12b02Na.wav	90,00     	70,00     
536  	12b02Tb.wav	55,00     	20,00     
537  	12b02Wa.wav	100,00     	95,00     
538  	12b02Wb.wav	100,00     	85,00     
539  	12b02Wd.wav	100,00     	100,00     
540  	13b02Aa.wav	90,00     	45,00     
541  	13b02Ea.wav	80,00     	50,00     
542  	13b02Fb.wav	100,00     	85,00     
543  	13b02Lc.wav	100,00     	90,00     
544  	13b02Nb.wav	95,00     	85,00     
545  	13b02Tb.wav	65,00     	45,00     
546  	13b02Tc.wav	65,00     	35,00     
547  	13b02Wa.wav	100,00     	80,00     
548  	14b02Aa.wav	90,00     	70,00     
549  	14b02Eb.wav	90,00     	50,00     
550  	14b02Fb.wav	95,00     	85,00     
551  	14b02Lc.wav	60,00     	45,00     
552  	14b02Na.wav	100,00     	90,00     
553  	14b02Tc.wav	95,00     	80,00     
554  	14b02Wb.wav	95,00     	75,00     
555  	14b02Wd.wav	100,00     	80,00     
556  	15b02Aa.wav	85,00     	55,00     
557  	15b02Eb.wav	80,00     	40,00     
558  	15b02Fb.wav	75,00     	40,00     
559  	15b02Lb.wav	95,00     	95,00     
560  	15b02Nd.wav	100,00     	100,00     
561  	15b02Tc.wav	90,00     	55,00     
562  	15b02Wa.wav	95,00     	75,00     
563  	15b02Wc.wav	95,00     	75,00     
564  	16b02Aa.wav	100,00     	85,00     
565  	16b02Eb.wav	85,00     	75,00     
566  	16b02Fd.wav	100,00     	75,00     
567  	16b02Lb.wav	95,00     	80,00     
568  	16b02Nc.wav	70,00     	55,00     
569  	16b02Td.wav	75,00     	60,00     
570  	16b02Wb.wav	95,00     	85,00     
571  	03b03Aa.wav	61,90     	19,05     
572  	03b03Ab.wav	76,19     	23,81     
573  	03b03Ed.wav	57,14     	19,05     
574  	03b03Fc.wav	85,71     	38,10     
575  	03b03La.wav	61,90     	42,86     
576  	03b03Nb.wav	95,24     	80,95     
577  	03b03Ta.wav	76,19     	57,14     
578  	03b03Tc.wav	95,24     	80,95     
579  	03b03Wc.wav	95,24     	85,71     
580  	08b03Aa.wav	95,24     	57,14     
581  	08b03Ab.wav	90,48     	47,62     
582  	08b03Eb.wav	71,43     	42,86     
583  	08b03Fe.wav	95,24     	80,95     
584  	08b03Lc.wav	95,24     	61,90     
585  	08b03Nb.wav	100,00     	90,48     
586  	08b03Tc.wav	100,00     	76,19     
587  	08b03Wd.wav	95,24     	76,19     
588  	09b03Aa.wav	90,48     	33,33     
589  	09b03Ed.wav	100,00     	66,67     
590  	09b03Fa.wav	90,48     	61,90     
591  	09b03Fd.wav	90,48     	57,14     
592  	09b03Lb.wav	90,48     	80,95     
593  	09b03Nb.wav	95,24     	80,95     
594  	09b03Ta.wav	80,95     	66,67     
595  	09b03Wb.wav	100,00     	85,71     
596  	10b03Aa.wav	95,24     	28,57     
597  	10b03Ab.wav	66,67     	9,52     
598  	10b03Ea.wav	52,38     	19,05     
599  	10b03Fd.wav	90,48     	57,14     
600  	10b03La.wav	100,00     	76,19     
601  	10b03Na.wav	61,90     	47,62     
602  	10b03Tb.wav	85,71     	61,90     
603  	10b03Wb.wav	95,24     	80,95     
604  	10b03Wd.wav	76,19     	57,14     
605  	11b03Ab.wav	76,19     	38,10     
606  	11b03Eb.wav	57,14     	38,10     
607  	11b03Fc.wav	100,00     	80,95     
608  	11b03Lc.wav	85,71     	61,90     
609  	11b03Nb.wav	95,24     	76,19     
610  	11b03Td.wav	90,48     	66,67     
